Link Type                | Link Name                          | Link
-------------------------|------------------------------------|--------------------------------------------------------------------
uCertify                 | Chapter 1:<br>Conceptual Models    | https://lrps.wgu.edu/provision/89082851
uCertify                 | Chapter 2:<br>ER-Modeling          | https://lrps.wgu.edu/provision/89082926
uCertify                 | Chapter 3:<br>Basic SQL            | https://lrps.wgu.edu/provision/89082971
uCertify                 | Chapter 4:<br>Advanced SQL         | https://lrps.wgu.edu/provision/89083051
uCertify                 | Chapter 5:<br>Indexes              | https://lrps.wgu.edu/provision/90582070
uCertify                 | Chapter 6:<br>Normalization        | https://lrps.wgu.edu/provision/112257984
Lynda                    | Lynda<br/>(SQL Tutorials)          | https://www.lynda.com/SQL-tutorials/Welcome/548044/635452-4.html
Panopto                  | Performance Assessment Help        | https://wgu.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=2be2eae6-d234-481d-90eb-111ef73c9a49
Panopto                  | Complex Joins Help                 | https://wgu.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=8d85fa40-b3d8-48b9-8e99-751915e09d5b
Panopto                  | Recorded Cohorts                   | https://sites.google.com/a/wgu.edu/c170---data-management-applications/session-recordings
SQLFiddle                | SQL Fiddle                         | http://sqlfiddle.com/
W3Schools                | W3 Schools: SQL                    | https://www.w3schools.com/sql/
Software                 | Visio Professional 2016<br>(Free)  | https://wgudreamspark.onthehub.com/WebStore/OfferingDetails.aspx?o=9c575a63-1c62-e511-9410-b8ca3a5db7a1&pmv=00000000-0000-0000-0000-000000000000
Lynda                    | Install MySQL (Windows)            | https://www.lynda.com/PHP-tutorials/Install-MySQL-Windows/537759/585181-4.html
Lynda                    | Install MySQL (macOS)              | https://www.lynda.com/PHP-tutorials/Install-MySQL-macOS/537759/585188-4.html
Lynda                    | Install MySQL (Ubuntu/Linux)       | https://www.lynda.com/PHP-tutorials/Install-MySQL-Linux/537759/585193-4.html
